Publisher,fd_1805_sfd_5866_s | fd_4111_s | fd_5867_s | fd_3481_s | 
"ARTstor Workspace, Archivision Library - Module 7 - Cornell: Published On",publishing_status-418-updated_on
"ARTstor Workspace, Cornell Cast Collection: Status",publishing_status.194.status
Folder #,fd_35125_s
"ARTstor Workspace, Cornell: Campus Artifacts, Art & Memorabilia: Status",publishing_status.32.status
"ARTstor Workspace, Cornell: Oskar Diethelm Library for the History of Psychiatry: Status",publishing_status.481.status
Time Date Stamp,fd_2212_s
"Shared Shelf Commons, Cornell: Alison Mason Kingsbury: Life and Art: Published On",publishing_status-85-updated_on
Series,fd_3485_sfd_55282_s | 
"Shared Shelf Commons, Cornell: Coins Collection : Published By",publishing_status.202.updated_by
Approval,fd_5638_s
"ARTstor Workspace, Cornell: The Joe Conzo, Jr  Archive: Published By",publishing_status.324.updated_by
Metric Height,fd_4819_sfd_31594_s | 
Scientific Name Authorship,fd_5392_s
Image Category,fd_4491_s
DSPS Number,fd_28686_s
"ARTstor Workspace, Cornell: Efraim Racker Paintings: Published By",publishing_status.450.updated_by
"Shared Shelf Commons, Cornell: Beyond the Taj: Architectural Traditions and Landscape Experience in South Asia: Published On",publishing_status-958-updated_on
Work Type,fd_15620_lookupfd_44663_lookup | fd_24236_lookup | fd_16250_lookup | fd_4535_lookup | fd_24658_lookup | fd_4811_lookup | fd_31108_lookup | fd_51018_lookup | fd_25452_lookup | fd_36154_lookup | fd_3180_lookup | fd_58689_lookup | fd_41083_lookup | fd_25702_mfcl_lookup | fd_1473_lookup | fd_1506_lookup | fd_1539_s | fd_4105_lookup | fd_22771_lookup | fd_20055_lookup | fd_44723_lookup | fd_17177_lookup | fd_3390_lookup | fd_31580_lookup | fd_41004_lookup | fd_31364_lookup | fd_27330_lookup | fd_1955_lookup | fd_3474_lookup | fd_3524_lookup | fd_2086_lookup | fd_3202_lookup | fd_3556_lookup | fd_42111_lookup | fd_2141_lookup | fd_2185_s | fd_29975_lookup | fd_28513_lookup | fd_52314_lookup | fd_2260_lookup | fd_2334_lookup | fd_52350_lookup | fd_18686_lookup | fd_30047_lookup | fd_31042_lookup | fd_47901_lookup | fd_4484_lookup | fd_40121_lookup | fd_31013_lookup | fd_5351_lookup | fd_5390_lookup | fd_31491_lookup | fd_5534_lookup | fd_3140_lookup | fd_34858_lookup | fd_42379_lookup | fd_21815_lookup | fd_58237_lookup | fd_53973_lookup | fd_6350_lookup | fd_22266_lookup | fd_51671_lookup | fd_34437_lookup | fd_52745_lookup | 
Architect Date,fd_47953_s
Diameter,fd_2282_s
Subject,fd_14737_lookupfd_44673_lookup | fd_24246_lookup | fd_15764_lookup | fd_4537_lookup | fd_24668_lookup | fd_24697_lookup | fd_4813_lookup | fd_31118_lookup | fd_51028_lookup | fd_25462_lookup | fd_36164_lookup | fd_3183_lookup | fd_58677_lookup | fd_41093_lookup | fd_25712_lookup | fd_1490_lookup | fd_1516_lookup | fd_1549_s | fd_4106_lookup | fd_22781_lookup | fd_20065_lookup | fd_44733_lookup | fd_17187_lookup | fd_3392_lookup | fd_31586_lookup | fd_41014_lookup | fd_31374_lookup | fd_27340_lookup | fd_1965_lookup | fd_3476_lookup | fd_3522_lookup | fd_2096_lookup | fd_3201_lookup | fd_3558_lookup | fd_42121_lookup | fd_2151_lookup | fd_2195_s | fd_29985_lookup | fd_28523_lookup | fd_52324_lookup | fd_2270_lookup | fd_52360_lookup | fd_18696_lookup | fd_30057_lookup | fd_31052_lookup | fd_47911_lookup | fd_47945_lookup | fd_4485_lookup | fd_40109_lookup | fd_31023_lookup | fd_5391_lookup | fd_31498_lookup | fd_5540_lookup | fd_3142_lookup | fd_34868_lookup | fd_42389_lookup | fd_21825_lookup | fd_58243_lookup | fd_53983_lookup | fd_6352_lookup | fd_51681_lookup | fd_3989_lookup | fd_52755_lookup | 
Related Type,fd_48065_mfcl_lookup
Designer,fd_51006_lookupfd_29963_s | 
ARTstor Latest Date,fd_31359_i
"ARTstor Workspace, Cornell: John Reps Collection: Published On",publishing_status-439-updated_on
System,fd_46262_mfcl_lookup
Period / Empire,fd_2278_lookup
"ARTstor Workspace, Cornell: Persuasive Map Collection: Published By",publishing_status.908.updated_bypublishing_status.1675.updated_by | 
"Shared Shelf Commons, Cornell: Midvale Steel Company Photographs Collected by Charles D. Wrege: Published On",publishing_status-280-updated_on
Date (US),fd_24229_s
Collector,fd_28531_lookup
_Alt Forms / Delivery Platform URL,fd_28699_s
DCMI Type,fd_61543_s
Series Relation 2,fd_3193_s
Weight,fd_2283_s
Principle Performer,fd_28533_lookup
"Shared Shelf Commons, New York State Aerial Photographs: Published By",publishing_status.87.updated_by
"ARTstor Workspace, Cornell: Alison Mason Kingsbury: Life and Art: Published On",publishing_status-148-updated_on
"Shared Shelf Commons, Cornell: Frank Gilbreth Motion Study Photographs: Published On",publishing_status-278-updated_on
Description (English translation),fd_53993_s
"ARTstor Workspace, Cornell: Willard D. Straight in Korea: Status",publishing_status.144.status
"ARTstor Workspace, Cornell: Campus Artifacts, Art & Memorabilia: Published On",publishing_status-32-updated_on
Place Name (National),fd_38353_s
Creator death date,fd_41106_s
Artist Biography,fd_5312_s
"Shared Shelf Commons, Cornell: Adler Hip Hop Archive: Published By",publishing_status.2243.updated_by
_Creator 1 Type,fd_28693_mfcl_lookup
"ARTstor Workspace, Cornell: John Clair Miller: Status",publishing_status.823.status
Work type (original),fd_26738_lookup
Coordinates,fd_3487_s
"Shared Shelf Commons, Icelandic and Faroese Photographs of Frederick W.W. Howell: Status",publishing_status.115.status
Work_PrefTitle,fd_35649_sfd_46669_s | fd_21165_s | fd_21241_s | fd_5449_s | 
Shape Term,fd_50381_s
"ARTstor Workspace, Cornell: Bernard Kassoy Teacher News Cartoons: Published By",publishing_status.285.updated_by
Digital Lifecycle Event,fd_28701_s
Figure Number,fd_31391_sfd_31514_s | 
Image Location,fd_4493_s
Appraisal Note,fd_51064_s
CULAR Depositor Department,fd_28708_s
Location (Country),fd_43718_lookup
Set Up File,fd_2207_s
Related works (influences),fd_47959_s
"Shared Shelf Commons, Cornell: Alison Mason Kingsbury: Life and Art: Status",publishing_status.85.status
"Shared Shelf Commons, Cornell: Midvale Steel Company Photographs Collected by Charles D. Wrege: Status",publishing_status.280.status
"ARTstor Workspace, Cornell: John Reps Collection: Status",publishing_status.439.status
Original Scale,fd_3483_s
Hamlet (Devanagari),fd_56409_s
"ARTstor Workspace, Kroch Asia Rare Materials Archive: Published On",publishing_status-207-updated_on
Angle,fd_43819_s
Year,fd_43481_s
Virtual Reality View,fd_51094_s
Host,fd_6457_s
"ARTstor Workspace, Cornell: Southern Tenant Farmers Union Photographs: Status",publishing_status.273.status
"Shared Shelf Commons, Ernie Paniccioli Archive: Published On",publishing_status-923-updated_on
"City, State",fd_4536_lookupfd_5537_lookup | 
Image_SubjectDisplay,fd_35668_sfd_46688_s | fd_21198_s | fd_21274_s | fd_5649_lookup | 
CULAR Depositor,fd_28706_s
Type,fd_3482_sfd_36171_mfcl_lookup | fd_58250_mfcl_lookup | 
"ARTstor Workspace, Cornell: Billie Jean Isbell Andean Collection: Status",publishing_status.149.status
Venue Address,fd_4544_sfd_5549_s | 
Creator 2,fd_3440_s
Project Focus Term,fd_50380_s
